Number,Sign,Key,Key&Num.,Item,Chinese Translated Item with Subject.
122,1,Friendliness,E1_05,Cheer people up.,我能令人高兴起来。
212,-1,Friendliness,E1_06,Avoid contacts with others.,我避免和他人接触。
272,-1,Friendliness,E1_07,Keep others at a distance.,我会和他人保持距离。
152,-1,Friendliness,E1_08,Am hard to get to know.,我难以被理解。
182,-1,Friendliness,E1_09,Often feel uncomfortable around others.,在别人面前，我总是感到不自在。
242,-1,Friendliness,E1_10,Am not really interested in others.,我没有真的对别人很感兴趣。
7,1,Gregariousness,E2_01,Love large parties.,我喜欢大型聚会。
37,1,Gregariousness,E2_02,Talk to a lot of different people at parties.,我在聚会上会和许多不同的人聊天。
67,1,Gregariousness,E2_03,Enjoy being part of a group.,我喜欢参与群体活动。
97,1,Gregariousness,E2_04,Involve others in what I am doing.,我会让别人参与我正在做的事情。
127,1,Gregariousness,E2_05,Love surprise parties.,我喜欢惊喜派对。
157,-1,Gregariousness,E2_06,Prefer to be alone.,我更喜欢独处。
247,-1,Gregariousness,E2_07,Avoid crowds.,我总是避开人群。
187,-1,Gregariousness,E2_08,Want to be left alone.,我想一个人呆着。
217,-1,Gregariousness,E2_09,Don't like crowded events.,我不喜欢人多的活动。
277,-1,Gregariousness,E2_10,Seek quiet.,我会寻求安静。
12,1,Assertiveness,E3_01,Take charge.,我愿意承担起责任。
42,1,Assertiveness,E3_02,Try to lead others.,我试图去领导别人。
132,1,Assertiveness,E3_03,Take control of things.,我会去掌控事物。
72,1,Assertiveness,E3_04,Can talk others into doing things.,我能说服他人，让他们做些什么。
102,1,Assertiveness,E3_05,Seek to influence others.,我寻求对他人产生影响。
162,-1,Assertiveness,E3_06,Wait for others to lead the way.,我总是等待别人来领导。
192,-1,Assertiveness,E3_07,Keep in the background.,我总是留在幕后。
222,-1,Assertiveness,E3_08,Have little to say.,我总是话很少。
252,-1,Assertiveness,E3_09,Don't like to draw attention to myself.,我不喜欢引起别人的注意。
282,-1,Assertiveness,E3_10,Hold back my opinions.,我总是保留自己的意见。
17,1,Activity Level,E4_01,Am always busy.,我总是在忙。
47,1,Activity Level,E4_02,Am always on the go.,我总是忙个不停。
77,1,Activity Level,E4_03,Do a lot in my spare time.,我会在空闲的时候做很多事情。
107,1,Activity Level,E4_04,Can manage many things at the same time.,我能同时处理许多事情。
137,1,Activity Level,E4_05,React quickly.,我的反应很迅速。
167,-1,Activity Level,E4_06,Like to take it easy.,我喜欢轻松、悠闲。
197,-1,Activity Level,E4_07,Like to take my time.,我喜欢慢慢来。
227,-1,Activity Level,E4_08,Like a leisurely lifestyle.,我喜欢悠闲的生活方式。
257,-1,Activity Level,E4_09,Let things proceed at their own pace.,我会让事情顺其自然。
287,-1,Activity Level,E4_10,React slowly.,我反应迟缓。
22,1,Excitement-Seeking,E5_01,Love excitement.,我喜欢刺激。
52,1,Excitement-Seeking,E5_02,Seek adventure.,我会寻求冒险。
112,1,Excitement-Seeking,E5_03,Enjoy being part of a loud crowd.,我喜欢加入热闹的团体。
172,1,Excitement-Seeking,E5_04,Act wild and crazy.,我行为狂野。
82,1,Excitement-Seeking,E5_05,Love action.,我喜欢行动起来。
142,1,Excitement-Seeking,E5_06,Enjoy being reckless.,我喜欢鲁莽行事。
202,1,Excitement-Seeking,E5_07,Am willing to try anything once.,任何事情我都想尝试一次。
232,1,Excitement-Seeking,E5_08,Seek danger.,我会想去做一些带有危险性质的事。
262,-1,Excitement-Seeking,E5_09,Would never go hang gliding or bungee jumping.,我不会去滑翔或蹦极。
292,-1,Excitement-Seeking,E5_10,Dislike loud music.,我不喜欢喧闹的音乐。
27,1,Cheerfulness,E6_01,Radiate joy.,我身上洋溢着快乐的气息。
57,1,Cheerfulness,E6_02,Have a lot of fun.,我有很多乐趣。
147,1,Cheerfulness,E6_03,Love life.,我热爱生活。
177,1,Cheerfulness,E6_04,Look at the bright side of life.,我总是看到生活中阳光的一面。
87,1,Cheerfulness,E6_05,Express childlike joy.,我总是表现出孩子般的快乐。
117,1,Cheerfulness,E6_06,Laugh my way through life.,我大笑着面对生活。
207,1,Cheerfulness,E6_07,Laugh aloud.,我总是大声欢笑。
237,1,Cheerfulness,E6_08,Amuse my friends.,我总是逗乐我的朋友。
267,-1,Cheerfulness,E6_09,Am not easily amused.,我不容易被逗乐。
297,-1,Cheerfulness,E6_10,Seldom joke around.,我很少开玩笑。
1,1,Anxiety,N1_01,Worry about things.,我总是对事情感到担忧。
31,1,Anxiety,N1_02,Fear for the worst.,我总是害怕最坏的情况发生。
61,1,Anxiety,N1_03,Am afraid of many things.,我对许多事情感到害怕。
91,1,Anxiety,N1_04,Get stressed out easily.,我容易过于紧张。
121,1,Anxiety,N1_05,Get caught up in my problems.,我会沉浸在自己的苦恼中。
151,-1,Anxiety,N1_06,Am not easily bothered by things.,我不容易被事情所困扰。
181,-1,Anxiety,N1_07,Am relaxed most of the time.,我大部分时间都是放松的。
211,-1,Anxiety,N1_08,Am not easily disturbed by events.,我不容易因为突发事件而感到困扰。
241,-1,Anxiety,N1_09,Don't worry about things that have already happened.,我不会为那些已经发生了的事发愁。
271,-1,Anxiety,N1_10,Adapt easily to new situations.,我容易适应新的环境。
6,1,Anger,N2_01,Get angry easily.,我容易生气。
36,1,Anger,N2_02,Get irritated easily.,我容易恼怒。
126,1,Anger,N2_03,Lose my temper.,我容易发脾气。
66,1,Anger,N2_04,Get upset easily.,我容易感到心烦意乱。
96,1,Anger,N2_05,Am often in a bad mood.,我经常心情不好。
216,-1,Anger,N2_06,Am not easily annoyed.,我不容易被惹怒。
156,-1,Anger,N2_07,Rarely get irritated.,我很少被激怒。
186,-1,Anger,N2_08,Seldom get mad.,我很少变的恼火。
246,-1,Anger,N2_09,Keep my cool.,我能够保持冷静。
276,-1,Anger,N2_10,Rarely complain.,我很少抱怨。
11,1,Depression,N3_01,Often feel blue.,我常常感到忧郁。
41,1,Depression,N3_02,Dislike myself.,我不喜欢自己。
71,1,Depression,N3_03,Am often down in the dumps.,我经常情绪低落。
101,1,Depression,N3_04,Have a low opinion of myself.,我对自己的评价很低。
131,1,Depression,N3_05,Have frequent mood swings.,我的情绪频繁的波动。
161,1,Depression,N3_06,Feel desperate.,我常常感到绝望。
191,1,Depression,N3_07,Feel that my life lacks direction.,我感觉自己的生活缺乏方向。
251,-1,Depression,N3_08,Feel comfortable with myself.,我对自己感到舒适愉快。
221,-1,Depression,N3_09,Seldom feel blue.,我很少感到忧郁。
281,-1,Depression,N3_10,Am very pleased with myself.,我对自己感到满意。
76,1,Self-Consciousness,N4_01,Find it difficult to approach others.,我认为接近他人很困呐。
106,1,Self-Consciousness,N4_02,Am afraid to draw attention to myself.,我害怕引起别人对自己的注意。
136,1,Self-Consciousness,N4_03,Only feel comfortable with friends.,我只有和朋友在一起才舒服。
16,1,Self-Consciousness,N4_04,Am easily intimidated.,我容易受惊吓。
46,1,Self-Consciousness,N4_05,Am afraid that I will do the wrong thing.,我害怕自己会做错事。
166,1,Self-Consciousness,N4_06,Stumble over my words.,我说话磕磕绊绊的。
256,-1,Self-Consciousness,N4_07,Am not bothered by difficult social situations.,我不会被困难的社交场合困扰到。
196,-1,Self-Consciousness,N4_08,Am not embarrassed easily.,我不容易感到尴尬。
226,-1,Self-Consciousness,N4_09,Am comfortable in unfamiliar situations.,就算是在不熟悉的场合，我也能感到轻松舒适。
286,-1,Self-Consciousness,N4_10,Am able to stand up for myself.,我能够为了自己挺身而出。
111,1,Immoderation,N5_01,Go on binges.,我会暴饮暴食。
21,1,Immoderation,N5_02,Often eat too much.,我常常吃的过多。
51,1,Immoderation,N5_03,Don't know why I do some of the things I do.,我也不知道自己为什么会去做一些事情。
81,1,Immoderation,N5_04,Do things I later regret.,我会做一些自己后来感到后悔的事情。
141,1,Immoderation,N5_05,Love to eat.,我喜欢吃东西。
171,-1,Immoderation,N5_06,Rarely overindulge.,我很少过度放纵。
201,-1,Immoderation,N5_07,Easily resist temptations.,我很容易的就能抵御诱惑。
231,-1,Immoderation,N5_08,Am able to control my cravings.,我能够控制我的欲望。
261,-1,Immoderation,N5_09,Never spend more than I can afford.,我从不花超出我承受范围的钱。
291,-1,Immoderation,N5_10,Never splurge.,我从不大手大脚的花钱。
26,1,Vulnerability,N6_01,Panic easily.,我容易惊慌。
56,1,Vulnerability,N6_02,Become overwhelmed by events.,我常常对突发事件感到惊慌失措。
86,1,Vulnerability,N6_03,Feel that I'm unable to deal with things.,我觉得自己应付不来事情。
116,1,Vulnerability,N6_04,Can't make up my mind.,我总是不能下定决心。
146,1,Vulnerability,N6_05,Get overwhelmed by emotions.,我常常被情绪所淹没。
176,-1,Vulnerability,N6_06,Remain calm under pressure.,我在压力下可以保持冷静。
206,-1,Vulnerability,N6_07,Can handle complex problems.,我能够处理复杂的问题。
236,-1,Vulnerability,N6_08,Know how to cope.,我知道如何应对事情。
266,-1,Vulnerability,N6_09,Readily overcome setbacks.,克服挫折对我来说很容易。
296,-1,Vulnerability,N6_10,Am calm even in tense situations.,即使在紧张情况下，我也能保持冷静。
3,1,Imagination,O1_01,Have a vivid imagination.,我有丰富的想像力。
33,1,Imagination,O1_02,Enjoy wild flights of fantasy.,我喜欢自由的幻想。
63,1,Imagination,O1_03,Love to daydream.,我喜欢做白日梦。
93,1,Imagination,O1_04,Like to get lost in thought.,我喜欢沉迷于思考之中。
123,1,Imagination,O1_05,Indulge in my fantasies.,我总是沉溺于自己的幻想之中。
153,1,Imagination,O1_06,Spend time reflecting on things.,我会花时间来反思。
183,-1,Imagination,O1_07,Seldom daydream.,我很少做白日梦。
213,-1,Imagination,O1_08,Do not have a good imagination.,我没有很好的想像力。
243,-1,Imagination,O1_09,Seldom get lost in thought.,我很少沉迷于思考之中。
273,-1,Imagination,O1_10,Have difficulty imagining things.,想象东西对我来说很困难。
8,1,Artistic Interests,O2_01,Believe in the importance of art.,我相信艺术的重要性。
68,1,Artistic Interests,O2_02,See beauty in things that others might not notice.,我能看到事物中别人看不到的美。
38,1,Artistic Interests,O2_03,Like music.,我喜欢音乐。
98,1,Artistic Interests,O2_04,Love flowers.,我喜欢花。
128,1,Artistic Interests,O2_05,Enjoy the beauty of nature.,我享受大自然的美。
188,-1,Artistic Interests,O2_06,Do not like poetry.,我不喜欢诗歌。
218,-1,Artistic Interests,O2_07,Do not enjoy going to art museums.,我不喜欢去艺术博物馆。
158,-1,Artistic Interests,O2_08,Do not like art.,我不喜欢艺术。
248,-1,Artistic Interests,O2_09,Do not like concerts.,我不喜欢去音乐会。
278,-1,Artistic Interests,O2_10,Do not enjoy watching dance performances.,我不喜欢看舞蹈表演。
13,1,Emotionality,O3_01,Experience my emotions intensely.,我能强烈的体察到自己的情绪。
43,1,Emotionality,O3_02,Feel others' emotions.,我能够感受到别人的情绪。
73,1,Emotionality,O3_03,Am passionate about causes.,我对事业和理想充满激情。
103,1,Emotionality,O3_04,Enjoy examining myself and my life.,我喜欢审视自己和生活。
133,1,Emotionality,O3_05,Try to understand myself.,我会尝试了解自己。
223,-1,Emotionality,O3_06,Rarely notice my emotional reactions.,我很少注意到自己的情绪反应。
283,-1,Emotionality,O3_07,Don't understand people who get emotional.,我不理解那些感情丰富的人。
163,-1,Emotionality,O3_08,Seldom get emotional.,我很少有情绪。
193,-1,Emotionality,O3_09,Am not easily affected by my emotions.,我不容易受自己情绪的影响。
253,-1,Emotionality,O3_10,Experience very few emotional highs and lows.,我很少体验到情绪的起伏。
18,1,Adventurousness,O4_01,Prefer variety to routine.,我喜欢变化而非一成不变。
48,1,Adventurousness,O4_02,Like to visit new places.,我喜欢去一些没去过的地方。
78,1,Adventurousness,O4_03,Am interested in many things.,我对许多事情感兴趣。
108,1,Adventurousness,O4_04,Like to begin new things.,我喜欢做没做过的事情。
138,-1,Adventurousness,O4_05,Prefer to stick with things that I know.,我喜欢待在我熟悉的世界里。
168,-1,Adventurousness,O4_06,Dislike changes.,我不喜欢变化。
288,-1,Adventurousness,O4_07,Am attached to conventional ways.,我墨守成规。
198,-1,Adventurousness,O4_08,Don't like the idea of change.,我不喜欢改变的想法。
228,-1,Adventurousness,O4_09,Am a creature of habit.,我是一个遵循习惯的人。
258,-1,Adventurousness,O4_10,Dislike new foods.,我不喜欢尝试新的食物。
53,1,Intellect,O5_01,Love to read challenging material.,我喜欢读有挑战性的文章或书。
23,1,Intellect,O5_02,Like to solve complex problems.,我喜欢解决复杂的问题。
83,1,Intellect,O5_03,Have a rich vocabulary.,我的词汇和表达方式非常丰富。
113,1,Intellect,O5_04,Can handle a lot of information.,我能够处理大量的信息。
143,1,Intellect,O5_05,Enjoy thinking about things.,我喜欢思考问题。
203,-1,Intellect,O5_06,Avoid philosophical discussions.,我会避免哲学式的讨论。
233,-1,Intellect,O5_07,Have difficulty understanding abstract ideas.,我难以理解抽象的概念。
263,-1,Intellect,O5_08,Am not interested in theoretical discussions.,我对理论性的讨论不感兴趣。
173,-1,Intellect,O5_09,Am not interested in abstract ideas.,我对抽象的概念不感兴趣。
293,-1,Intellect,O5_10,Avoid difficult reading material.,我会避免去阅读那些难读的文章或书。
28,1,Liberalism,O6_01,Tend to vote for liberal political candidates.,我更喜欢思想自由、积极变革的人。
58,1,Liberalism,O6_02,Believe that there is no absolute right or wrong.,我相信没有绝对的对和错。
88,1,Liberalism,O6_03,Believe that criminals should receive help rather than punishment.,我相信罪犯应该得到帮助而不是惩罚。
148,-1,Liberalism,O6_04,Tend to vote for conservative political candidates.,我更喜欢强调社会秩序，维护传统的人。
268,-1,Liberalism,O6_05,Believe that we should be tough on crime.,我认为应该严厉的对待违法行为。
118,-1,Liberalism,O6_06,Believe in one true religion.,我相信有一种真正的宗教。
178,-1,Liberalism,O6_07,Believe that too much tax money goes to support artists.,我认为给艺术家的公共支出已经太多了。
208,-1,Liberalism,O6_08,Believe laws should be strictly enforced.,我相信法律应该被严厉的施行。
238,-1,Liberalism,O6_09,Believe that we coddle criminals too much.,我认为我们对罪犯太好了。
298,-1,Liberalism,O6_10,Like to stand during the national anthem.,我喜欢在唱国歌时起立。
